model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;1;1;24;11;11;11;1.5849706442942098;3.000016934131899;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;1;1515;8;19;19;19;0.1602228852708688;1.1174597636630097;TRUE;2.9192926025390627E-5;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;1;1515;8;19;19;19;0.1602228852708688;1.1174597636630097;TRUE;2.9192926025390627E-5
5d6c641d-e24b-4228-a20e-56d9f99e5e8e;0;0;0;2;40;14;14;14;0.4118220540583908;1.3303649401199886;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;2;8;15;15;15;0.07439343432272492;1.0529182546776348;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;1168;8;19;19;19;0.1602228852708688;1.1174597636630097;TRUE;8.649755859375E-6
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;11;11;11;11;1.584970644294211;3.0000169341319016;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;5d6c641d-e24b-4228-a20e-56d9f99e5e8e;0;0;0;2;14;14;14;14;0.41182205405839317;1.3303649401199908;TRUE;1.0E-7
