model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;24;11;11;11;1.5849706442942102;3.0000169341319;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;1;4;40;58;58;58;0.32548203209291326;1.2530830477756505;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;1;4;40;58;58;58;0.32548203209291326;1.2530830477756505;TRUE;1.0E-7
ef6e13ac-de31-4c49-888b-0653a9e884e2;0;0;0;2424;36;18;18;18;0.30833970457893717;1.2382818288791086;TRUE;4.987885095119476E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;1;1;40;15;15;15;0.21029691805268988;1.1569262639827285;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;2;40;58;58;58;0.32548203209290943;1.2530830477756472;TRUE;1.0E-7
noID imported from (data/javert/Figure 10.pnml);0;0;1;1;11;11;11;11;1.584970644294211;3.000016934131902;TRUE;1.0E-7;MdM;0;0;0;2163;18;18;18;18;0.3083397045789493;1.238281828879119;TRUE;2.2168378200531003E-4;ef6e13ac-de31-4c49-888b-0653a9e884e2;0;0;0;2266;18;18;18;18;0.30833970457893534;1.238281828879107;TRUE;3.325256730079651E-4
