model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;24;11;11;11;1.584970644294212;3.000016934131904;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;3;189;3093;100000;10663;10663;10663;0.7080163847092467;1.6335565344407919;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;3;189;3093;100000;10663;10663;10663;0.7080163847092467;1.6335565344407919;TRUE;1.0E-7
4909fb3e-bac2-4832-9c40-e8a7a431b6f3;0;0;0;2133;36;18;18;18;0.3083397045789547;1.2382818288791237;TRUE;2.2168378200531003E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;2131;100000;18;18;18;0.30833970457892707;1.2382818288791;TRUE;2.2168378200531003E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;3;189;3124;100000;10663;10663;10663;0.7080163847092408;1.6335565344407852;TRUE;1.0E-7
noID imported from (data/javert/Figure 10.pnml);0;0;1;2;11;11;11;11;1.584970644294211;3.0000169341319016;TRUE;1.0E-7;MdM;0;0;0;2135;18;18;18;18;0.30833970457895293;1.2382818288791222;TRUE;2.2168378200531003E-4;4909fb3e-bac2-4832-9c40-e8a7a431b6f3;0;1;1;2153;18;18;18;18;0.3083397045789364;1.238281828879108;TRUE;2.2168378200531003E-4
