model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;1;1;24;11;11;11;1.5849706442942098;3.000016934131899;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;1;0;2344;5;18;18;18;0.11386938503474546;1.0821266693253253;TRUE;3.325256730079651E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;1;0;2344;5;18;18;18;0.11386938503474546;1.0821266693253253;TRUE;3.325256730079651E-4
b00621ba-4d81-4f37-87c0-f4c5a9eb581a;0;0;0;2;40;14;14;14;0.4118220540583903;1.3303649401199882;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;2;5;15;15;15;0.07439343432273406;1.0529182546776414;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;1293;5;18;18;18;0.11386938503473482;1.0821266693253173;TRUE;1.29746337890625E-5
noID imported from (data/javert/Figure 10.pnml);0;0;1;1;11;11;11;11;1.584970644294212;3.000016934131904;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;b00621ba-4d81-4f37-87c0-f4c5a9eb581a;0;0;0;2;14;14;14;14;0.4118220540583867;1.3303649401199849;TRUE;1.0E-7
