model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;24;11;11;11;1.584970644294209;3.0000169341318976;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;4;11;300;221;221;221;0.44577609458630163;1.362046629407805;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;4;11;300;221;221;221;0.44577609458630163;1.362046629407805;TRUE;1.0E-7
71ecc052-138f-4e95-a1e8-4c17521fbc9d;0;1;0;2164;36;18;18;18;0.3083397045789405;1.2382818288791115;TRUE;2.2168378200531003E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;1;0;2137;300;18;18;18;0.308339704578934;1.238281828879106;TRUE;2.2168378200531003E-4;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;4;10;300;221;221;221;0.445776094586292;1.362046629407796;TRUE;1.0E-7
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;11;11;11;11;1.5849706442942118;3.0000169341319034;TRUE;1.0E-7;MdM;0;0;0;2145;18;18;18;18;0.3083397045789159;1.2382818288790904;TRUE;2.2168378200531003E-4;71ecc052-138f-4e95-a1e8-4c17521fbc9d;0;1;0;2148;18;18;18;18;0.30833970457894283;1.2382818288791135;TRUE;2.2168378200531003E-4
