model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;24;11;11;11;1.5849706442942084;3.0000169341318963;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;2;11;100;135;135;135;0.37529635361258595;1.2971059744777638;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;2;11;100;135;135;135;0.37529635361258595;1.2971059744777638;TRUE;1.0E-7
a9129d8d-f7f7-4de5-ad88-8ebeabaeec71;0;1;0;1;46;12;12;12;1.0211036308348846;2.0294708677024462;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;5;100;31;31;31;0.34161317020289744;1.2671727094821654;TRUE;1.0E-7;Log5 (from noID imported from (data/javert/Figure 10.pnml));0;0;4;13;100;135;135;135;0.37529635361256425;1.2971059744777442;TRUE;1.0E-7
noID imported from (data/javert/Figure 10.pnml);0;1;0;1;11;11;11;11;1.584970644294209;3.0000169341318976;TRUE;1.0E-7;MdM;0;0;1;1;12;12;12;12;1.0211036308348618;2.0294708677024142;TRUE;1.0E-7;a9129d8d-f7f7-4de5-ad88-8ebeabaeec71;0;0;0;1;12;12;12;12;1.0211036308348986;2.0294708677024658;TRUE;1.0E-7
