model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 10.pnml);0;0;0;1;24;11;11;11;1.5849706442942104;3.0000169341319003;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 10.pnml));0;1;35;229;10000;2068;2068;2068;0.6176933442708409;1.5344199087926091;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 10.pnml));0;1;35;229;10000;2068;2068;2068;0.6176933442708409;1.5344199087926091;TRUE;1.0E-7
be307d04-5cdd-43fc-aedd-9c762ff816e4;0;0;0;2642;36;18;18;18;0.30833970457895654;1.2382818288791253;TRUE;3.325256730079651E-4;Log7 (from noID imported from (data/javert/Figure 10.pnml));0;0;0;2761;10000;18;18;18;0.30833970457894155;1.2382818288791124;TRUE;4.987885095119476E-4;Log7 (from noID imported from (data/javert/Figure 10.pnml));0;1;30;229;10000;2068;2068;2068;0.6176933442708372;1.5344199087926054;TRUE;1.0E-7
noID imported from (data/javert/Figure 10.pnml);0;0;0;2;11;11;11;11;1.584970644294211;3.0000169341319016;TRUE;1.0E-7;MdM;0;0;0;2625;18;18;18;18;0.308339704578934;1.238281828879106;TRUE;3.325256730079651E-4;be307d04-5cdd-43fc-aedd-9c762ff816e4;0;0;0;2530;18;18;18;18;0.3083397045789418;1.2382818288791126;TRUE;2.2168378200531003E-4
