model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 09.pnml);0;0;0;0;8;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;2;7;7;7;0.15416280039211036;1.1127756842635703;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;2;7;7;7;0.15416280039211036;1.1127756842635703;TRUE;1.0E-7
ba5a1cd3-6b94-4c95-8525-76366fdb0a54;0;0;0;1;14;5;5;5;0.40568523137582485;1.3247179572447463;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;2;7;7;7;0.154162800368144;1.1127756842450847;TRUE;1.0E-7;Log4 (from noID imported from (data/javert/Figure 09.pnml));0;0;0;1;2;7;7;7;0.154162800368144;1.1127756842450847;TRUE;1.0E-7
noID imported from (data/javert/Figure 09.pnml);0;1;0;0;4;4;4;4;0.4649584172162093;1.3802775690976143;TRUE;1.0E-7;MdM;0;1;0;0;5;5;5;5;0.40568523137582363;1.3247179572447452;TRUE;1.0E-7;ba5a1cd3-6b94-4c95-8525-76366fdb0a54;0;0;0;0;5;5;5;5;0.4056852313758239;1.3247179572447454;TRUE;1.0E-7
