model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;11;5;5;5;1.0398173866263036;2.0559673967128185;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;10;15;15;15;0.35263757804672685;1.2768929483827354;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;10;15;15;15;0.35263757804672685;1.2768929483827354;TRUE;1.0E-7
223a9f3f-f3b3-4f99-a76a-9d0f066dcaf6;0;0;0;1;25;7;7;7;0.5723930144962605;1.4869880099097497;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;10;8;8;8;0.3142295188765012;1.2433474577676837;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;10;15;15;15;0.35263757804671864;1.276892948382728;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;5;5;5;5;1.0398173866263072;2.0559673967128234;TRUE;1.0E-7;MdM;0;1;0;1;7;7;7;7;0.5723930145079196;1.4869880099217667;TRUE;1.0E-7;223a9f3f-f3b3-4f99-a76a-9d0f066dcaf6;0;0;0;1;7;7;7;7;0.5723930144918166;1.4869880099051693;TRUE;1.0E-7
