model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;11;5;5;5;1.0398173866263043;2.0559673967128194;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;289;100;36;36;36;0.6117055117172737;1.5280645746986654;TRUE;2.25E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;289;100;36;36;36;0.6117055117172737;1.5280645746986654;TRUE;2.25E-7
872eb62e-29ad-41b3-bb79-8aa59f7cfe69;0;0;0;2;20;8;8;8;0.3790866865098049;1.3005182878057675;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;100;8;8;8;0.37908668650980304;1.3005182878057657;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;1;179;100;36;36;36;0.6117055117172775;1.5280645746986694;TRUE;1.5E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;5;5;5;5;1.0398173866263072;2.0559673967128234;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;872eb62e-29ad-41b3-bb79-8aa59f7cfe69;0;0;0;2;8;8;8;8;0.37908668650980054;1.3005182878057635;TRUE;1.0E-7
