model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;11;5;5;5;1.0398173866263047;2.05596739671282;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;9;13;13;13;0.32675838866572743;1.2541921445952158;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;9;13;13;13;0.32675838866572743;1.2541921445952158;TRUE;1.0E-7
2079c16d-2298-43ee-a405-0ee4612f5b59;0;0;0;1;25;7;7;7;0.5723930144829249;1.4869880098960047;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;1;0;1;9;8;8;8;0.3142295188765419;1.2433474577677188;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;1;2;9;13;13;13;0.32675838866572565;1.2541921445952142;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;5;5;5;5;1.0398173866263025;2.0559673967128167;TRUE;1.0E-7;MdM;0;0;1;1;7;7;7;7;0.572393014494779;1.4869880099082227;TRUE;1.0E-7;2079c16d-2298-43ee-a405-0ee4612f5b59;0;0;0;1;7;7;7;7;0.5723930144902187;1.4869880099035224;TRUE;1.0E-7
