model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;11;5;5;5;1.0398173866263056;2.055967396712821;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;1;4;2313;30000;792;792;792;0.8205391707616885;1.7660658916970622;TRUE;3.375E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;1;4;2313;30000;792;792;792;0.8205391707616885;1.7660658916970622;TRUE;3.375E-7
57e99e4e-631a-48de-afa1-d087be0c3624;0;0;0;2;20;8;8;8;0.37908668650979926;1.3005182878057624;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;1;0;1;30000;8;8;8;0.37908668650980004;1.300518287805763;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;5;1746;30000;792;792;792;0.8205391707616851;1.766065891697058;TRUE;2.25E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;5;5;5;5;1.0398173866263065;2.0559673967128225;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;57e99e4e-631a-48de-afa1-d087be0c3624;0;0;0;3;8;8;8;8;0.37908668650980304;1.3005182878057657;TRUE;1.0E-7
