model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;1;0;0;11;5;5;5;1.0398173866263027;2.055967396712817;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;8;75;44;44;44;0.5495349644419595;1.4636138414172057;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;8;75;44;44;44;0.5495349644419595;1.4636138414172057;TRUE;1.0E-7
e320a065-fe4d-4877-94a8-2283ca1ac0f4;0;0;0;3;20;8;8;8;0.37908668650980054;1.3005182878057635;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;1;0;3;75;8;8;8;0.3790866865097969;1.3005182878057602;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;7;75;44;44;44;0.5495349644419643;1.4636138414172106;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;5;5;5;5;1.0398173866263063;2.055967396712822;TRUE;1.0E-7;MdM;0;0;0;5;8;8;8;8;0.379086686509802;1.3005182878057648;TRUE;1.0E-7;e320a065-fe4d-4877-94a8-2283ca1ac0f4;0;0;0;5;8;8;8;8;0.3790866865098015;1.3005182878057644;TRUE;1.0E-7
