model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;11;5;5;5;1.039817386626304;2.055967396712819;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;15;20;18;18;18;0.48439877519868935;1.3990027275102919;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;15;20;18;18;18;0.48439877519868935;1.3990027275102919;TRUE;1.0E-7
ad874221-8568-40c1-93b0-b890d221123d;0;0;0;2;20;8;8;8;0.3790866865098025;1.3005182878057653;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;1;0;20;7;7;7;0.33659812149928164;1.262775452918536;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;25;20;18;18;18;0.4843987751987024;1.3990027275103045;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;5;5;5;5;1.039817386626302;2.055967396712816;TRUE;1.0E-7;MdM;0;0;0;0;1;1;1;1;-Infinity;0.0;TRUE;1.0E-7;ad874221-8568-40c1-93b0-b890d221123d;0;0;0;2;8;8;8;8;0.3790866865097998;1.3005182878057628;TRUE;1.0E-7
