model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;1;0;0;11;5;5;5;1.0398173866263047;2.05596739671282;TRUE;1.0E-7;Log10 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;8;11;11;11;0.3749645890214142;1.2968077240888884;TRUE;1.0E-7;Log10 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;8;11;11;11;0.3749645890214142;1.2968077240888884;TRUE;1.0E-7
eac5d079-a00b-4b8f-b57f-0b412abe06fc;0;0;0;3;20;8;8;8;0.32411021324728234;1.2518920920475396;TRUE;1.0E-7;Log10 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;8;7;7;7;0.26689569697316795;1.2032160335254125;TRUE;1.0E-7;Log10 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;8;11;11;11;0.37496458902141394;1.2968077240888882;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;1;5;5;5;5;1.0398173866263054;2.0559673967128207;TRUE;1.0E-7;MdM;0;0;0;3;8;8;8;8;0.32411021324728334;1.2518920920475405;TRUE;1.0E-7;eac5d079-a00b-4b8f-b57f-0b412abe06fc;0;0;0;3;8;8;8;8;0.3241102132472767;1.2518920920475347;TRUE;1.0E-7
