model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13a.pnml);0;0;1;0;11;5;5;5;1.0398173866263056;2.055967396712821;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;4;8;8;8;0.2556325925565076;1.1938591113212085;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;4;8;8;8;0.2556325925565076;1.1938591113212085;TRUE;1.0E-7
c9f4ced9-68e5-4b5c-a8a3-5b5f89b8aec4;0;0;0;4;20;8;8;8;0.3241102132472795;1.2518920920475372;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;1;4;6;6;6;0.18234160805985936;1.1347241384015199;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 13a.pnml));0;0;0;2;4;8;8;8;0.2556325925564561;1.1938591113211658;TRUE;1.0E-7
noID imported from (data/javert/Figure 13a.pnml);0;0;0;0;5;5;5;5;1.0398173866263027;2.055967396712817;TRUE;1.0E-7;MdM;0;0;0;4;8;8;8;8;0.3241102132472818;1.2518920920475392;TRUE;1.0E-7;c9f4ced9-68e5-4b5c-a8a3-5b5f89b8aec4;0;1;0;4;8;8;8;8;0.3241102132472808;1.2518920920475383;TRUE;1.0E-7
