model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 06.pnml);0;0;0;0;13;6;6;6;0.5514630897455924;1.4655712318767649;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;2;8;11;11;11;0.28009890431065954;1.2142781266750207;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;2;8;11;11;11;0.28009890431065954;1.2142781266750207;TRUE;1.0E-7
8ed4636a-4cc8-4132-a578-e651ec683cb9;0;0;0;0;14;7;7;7;0.1541628004500891;1.1127756843082903;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;1;8;7;7;7;0.15416280053197143;1.1127756843714476;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;1;0;3;8;11;11;11;0.2800989043106521;1.2142781266750144;TRUE;1.0E-7
noID imported from (data/javert/Figure 06.pnml);0;0;0;1;6;6;6;6;0.5514630897455972;1.4655712318767697;TRUE;1.0E-7;MdM;0;0;1;0;7;7;7;7;0.15416280044466374;1.1127756843041057;TRUE;1.0E-7;8ed4636a-4cc8-4132-a578-e651ec683cb9;0;0;0;0;7;7;7;7;0.15416279904048846;1.112775683221041;TRUE;1.0E-7
