model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 06.pnml);0;0;0;1;13;6;6;6;0.5514630897455953;1.4655712318767677;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;10;100;29;29;29;0.4744465749566492;1.3893851425039752;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;10;100;29;29;29;0.4744465749566492;1.3893851425039752;TRUE;1.0E-7
6f6f1c00-1be5-42a7-bca5-f4f29b7a86eb;0;0;0;0;14;7;7;7;0.15416280057073753;1.1127756844013486;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;0;100;7;7;7;0.15416279980731393;1.1127756838125067;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;27;100;29;29;29;0.47444657495665193;1.3893851425039778;TRUE;1.0E-7
noID imported from (data/javert/Figure 06.pnml);0;1;0;0;6;6;6;6;0.5514630897455954;1.465571231876768;TRUE;1.0E-7;MdM;0;0;0;1;7;7;7;7;0.1541628003971842;1.1127756842674839;TRUE;1.0E-7;6f6f1c00-1be5-42a7-bca5-f4f29b7a86eb;0;0;0;1;7;7;7;7;0.15416280044864653;1.1127756843071777;TRUE;1.0E-7
