model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 06.pnml);0;0;0;1;13;6;6;6;0.5514630897455954;1.465571231876768;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;6;40;25;25;25;0.46620714564656024;1.3814727891118164;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;6;40;25;25;25;0.46620714564656024;1.3814727891118164;TRUE;1.0E-7
eae11bd9-d9d6-4bfb-af3e-ea24c8256c69;0;0;0;1;14;7;7;7;0.1541628004150513;1.112775684281265;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;0;40;7;7;7;0.15416280022633633;1.112775684135706;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 06.pnml));0;0;0;8;40;25;25;25;0.46620714564656235;1.3814727891118184;TRUE;1.0E-7
noID imported from (data/javert/Figure 06.pnml);0;0;1;0;6;6;6;6;0.5514630897455949;1.4655712318767673;TRUE;1.0E-7;MdM;0;0;0;0;7;7;7;7;0.15416280040130687;1.1127756842706638;TRUE;1.0E-7;eae11bd9-d9d6-4bfb-af3e-ea24c8256c69;0;0;0;1;7;7;7;7;0.15416280026035276;1.1127756841619434;TRUE;1.0E-7
