model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;10;5;5;5;0.4056852313758239;1.3247179572447454;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;0;1;5;5;5;0.0;1.0;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;0;1;5;5;5;0.0;1.0;TRUE;1.0E-7
a43e8d23-1531-43e6-8597-cba133699c97;0;0;0;0;9;5;5;5;0.0;1.0;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;0;1;5;5;5;0.0;1.0;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;0;1;5;5;5;0.0;1.0;TRUE;1.0E-7
noID imported from (data/javert/Figure 13b.pnml);0;0;0;1;5;5;5;5;0.40568523137582535;1.3247179572447467;TRUE;1.0E-7;MdM;0;0;0;0;5;5;5;5;0.0;1.0;TRUE;1.0E-7;a43e8d23-1531-43e6-8597-cba133699c97;0;0;0;0;5;5;5;5;0.0;1.0;TRUE;1.0E-7
