model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;10;5;5;5;0.40568523137582296;1.3247179572447445;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;1;0;2;100;13;13;13;0.36972605989440205;1.2921074609290673;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;1;0;2;100;13;13;13;0.36972605989440205;1.2921074609290673;TRUE;1.0E-7
51599f07-b08b-49b0-9d87-8694a8cab76f;0;0;1;0;12;6;6;6;0.18234160805986047;1.1347241384015208;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;1;0;0;100;6;6;6;0.1823416080598599;1.1347241384015203;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;0;1;2;100;13;13;13;0.3697260598944033;1.2921074609290684;TRUE;1.0E-7
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;5;5;5;5;0.40568523137582535;1.3247179572447467;TRUE;1.0E-7;MdM;0;0;1;0;6;6;6;6;0.1823416080598579;1.1347241384015188;TRUE;1.0E-7;51599f07-b08b-49b0-9d87-8694a8cab76f;0;1;0;0;6;6;6;6;0.1823416080598602;1.1347241384015205;TRUE;1.0E-7
