model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13b.pnml);0;0;1;0;10;5;5;5;0.40568523137582485;1.3247179572447463;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;1;1;1000;16;16;16;0.3951247678914513;1.3150564846758694;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;1;1;1000;16;16;16;0.3951247678914513;1.3150564846758694;TRUE;1.0E-7
4eaaa283-d1ca-4bef-b53e-117777fb6293;0;0;0;0;12;6;6;6;0.18234160805986047;1.1347241384015208;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;1;0;0;1000;6;6;6;0.18234160805986074;1.134724138401521;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;2;1000;16;16;16;0.3951247678914581;1.3150564846758757;TRUE;1.0E-7
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;5;5;5;5;0.4056852313758219;1.3247179572447436;TRUE;1.0E-7;MdM;0;0;0;0;6;6;6;6;0.18234160805985936;1.1347241384015199;TRUE;1.0E-7;4eaaa283-d1ca-4bef-b53e-117777fb6293;0;1;0;0;6;6;6;6;0.18234160805985902;1.1347241384015196;TRUE;1.0E-7
