model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;10;5;5;5;0.40568523137582485;1.3247179572447463;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;1;50;9;9;9;0.34322940482996916;1.2685931039414946;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;1;50;9;9;9;0.34322940482996916;1.2685931039414946;TRUE;1.0E-7
d3068a0b-2513-4037-bbcd-afc9a3787bf6;0;0;0;0;12;6;6;6;0.18234160805985936;1.1347241384015199;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;0;50;6;6;6;0.18234160805986047;1.1347241384015208;TRUE;1.0E-7;Log11 (from noID imported from (data/javert/Figure 13b.pnml));0;0;0;1;50;9;9;9;0.34322940483229336;1.2685931039435383;TRUE;1.0E-7
noID imported from (data/javert/Figure 13b.pnml);0;0;0;0;5;5;5;5;0.4056852313758263;1.3247179572447476;TRUE;1.0E-7;MdM;0;0;0;0;6;6;6;6;0.1823416080598579;1.1347241384015188;TRUE;1.0E-7;d3068a0b-2513-4037-bbcd-afc9a3787bf6;0;0;0;0;6;6;6;6;0.18234160805986158;1.1347241384015216;TRUE;1.0E-7
