model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 11.pnml);0;0;0;1;11;5;5;5;1.0398173866263047;2.05596739671282;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;2;10;8;8;8;0.3241102132472841;1.2518920920475411;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;2;10;8;8;8;0.3241102132472841;1.2518920920475411;TRUE;1.0E-7
47594793-1e08-4002-b443-ae5c305660aa;0;0;0;1;15;7;7;7;0.2668956970541336;1.2032160335929383;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;1;10;7;7;7;0.2668956969678352;1.203216033520965;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;2;10;8;8;8;0.3241102132472857;1.2518920920475425;TRUE;1.0E-7
noID imported from (data/javert/Figure 11.pnml);0;1;0;0;5;5;5;5;1.0398173866263014;2.055967396712815;TRUE;1.0E-7;MdM;0;0;0;0;7;7;7;7;0.2668956968866782;1.2032160334532795;TRUE;1.0E-7;47594793-1e08-4002-b443-ae5c305660aa;0;0;0;1;7;7;7;7;0.266895696925835;1.2032160334859365;TRUE;1.0E-7
