model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 11.pnml);0;0;0;0;11;5;5;5;1.039817386626306;2.0559673967128216;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;380;40;24;24;24;0.5175794683108255;1.431551396953736;TRUE;2.25E-7;Log8 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;380;40;24;24;24;0.5175794683108255;1.431551396953736;TRUE;2.25E-7
92c1208d-634e-478e-bb3b-b50fa0f42bea;0;0;0;2;20;8;8;8;0.3790866865097998;1.3005182878057628;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;2;40;8;8;8;0.3790866865098003;1.3005182878057633;TRUE;1.0E-7;Log8 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;399;40;24;24;24;0.5175794683108176;1.4315513969537281;TRUE;2.25E-7
noID imported from (data/javert/Figure 11.pnml);0;0;0;0;5;5;5;5;1.0398173866263034;2.055967396712818;TRUE;1.0E-7;MdM;0;0;1;2;8;8;8;8;0.37908668650980376;1.3005182878057664;TRUE;1.0E-7;92c1208d-634e-478e-bb3b-b50fa0f42bea;0;0;0;2;8;8;8;8;0.37908668650980004;1.300518287805763;TRUE;1.0E-7
