model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 11.pnml);0;0;0;1;11;5;5;5;1.039817386626301;2.0559673967128145;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;4;27;30000;866;866;866;0.8203598406793492;1.7658463795688388;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;4;27;30000;866;866;866;0.8203598406793492;1.7658463795688388;TRUE;1.0E-7
e91bc295-0e69-4335-9552-4ef79f4257eb;0;0;0;2;20;8;8;8;0.37908668650979904;1.3005182878057622;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;1;0;1;30000;8;8;8;0.37908668650980076;1.3005182878057637;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;1;4;33;30000;866;866;866;0.8203598406793514;1.7658463795688415;TRUE;1.0E-7
noID imported from (data/javert/Figure 11.pnml);0;0;0;0;5;5;5;5;1.0398173866263047;2.05596739671282;TRUE;1.0E-7;MdM;0;0;0;3;8;8;8;8;0.3790866865097998;1.3005182878057628;TRUE;1.0E-7;e91bc295-0e69-4335-9552-4ef79f4257eb;0;0;0;2;8;8;8;8;0.37908668650979804;1.3005182878057613;TRUE;1.0E-7
