model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 11.pnml);0;0;0;1;11;5;5;5;1.0398173866263076;2.055967396712824;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;85;20;19;19;19;0.4340120869524448;1.350985403093929;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;85;20;19;19;19;0.4340120869524448;1.350985403093929;TRUE;1.0E-7
74f410f2-2d15-4143-9e78-fbb1c4639e96;0;0;0;0;25;6;6;6;0.6125377883690113;1.5289463545197028;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;1;0;29;20;12;12;12;0.39146373928412526;1.311723586332169;TRUE;1.0E-7;Log6 (from noID imported from (data/javert/Figure 11.pnml));0;0;0;78;20;19;19;19;0.43401208695244164;1.3509854030939261;TRUE;1.0E-7
noID imported from (data/javert/Figure 11.pnml);0;0;0;0;5;5;5;5;1.0398173866263043;2.0559673967128194;TRUE;1.0E-7;MdM;0;0;0;0;6;6;6;6;0.6125377883690163;1.5289463545197082;TRUE;1.0E-7;74f410f2-2d15-4143-9e78-fbb1c4639e96;0;0;0;1;6;6;6;6;0.6125377883690151;1.5289463545197068;TRUE;1.0E-7
