model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 12.pnml);0;1;0;1;28;10;10;10;2.584962548440217;6.000000198457997;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 12.pnml));0;248;34366;96205;100000;232663;232663;232663;0.9404613349521812;1.9191418303218424;TRUE;1.0E-7;Log9 (from noID imported from (data/javert/Figure 12.pnml));0;248;34366;96205;100000;232663;232663;232663;0.9404613349521812;1.9191418303218424;TRUE;1.0E-7
3376ea1d-4fb7-46d9-bb35-e406c483ca9d;0;0;2;2310;61;80;80;80;0.9110646451894941;1.8804326627434957;TRUE;2.9192926025390627E-5;Log9 (from noID imported from (data/javert/Figure 12.pnml));0;0;12;2181;100000;741;741;741;0.7936634323927919;1.733470676940395;TRUE;2.25E-7;Log9 (from noID imported from (data/javert/Figure 12.pnml));0;180;30844;93236;100000;232663;232663;232663;0.9404613349521751;1.9191418303218344;TRUE;1.0E-7
noID imported from (data/javert/Figure 12.pnml);0;0;1;1;10;10;10;10;2.584962548440216;6.000000198457993;TRUE;1.0E-7;MdM;0;0;1;1901;80;80;80;80;0.9110646451894695;1.8804326627434635;TRUE;1.29746337890625E-5;3376ea1d-4fb7-46d9-bb35-e406c483ca9d;0;0;1;2103;80;80;80;80;0.9110646451894702;1.8804326627434644;TRUE;1.946195068359375E-5
