model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 12.pnml);0;0;0;1;28;10;10;10;2.584962548440215;6.00000019845799;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 12.pnml));0;0;1;5;7;64;64;64;0.17393297984376932;1.1281297291617947;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 12.pnml));0;0;1;5;7;64;64;64;0.17393297984376932;1.1281297291617947;TRUE;1.0E-7
acb1fc6c-a827-434e-8699-f8e838d6b18c;0;0;0;2;59;16;16;16;2.3222067823726094;5.000965950517306;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 12.pnml));0;0;0;4;7;34;34;34;0.13585149507955663;1.0987411119966817;TRUE;1.0E-7;Log7 (from noID imported from (data/javert/Figure 12.pnml));0;0;1;6;7;64;64;64;0.1739329798437673;1.128129729161793;TRUE;1.0E-7
noID imported from (data/javert/Figure 12.pnml);0;0;0;1;10;10;10;10;2.5849625484402186;6.000000198458006;TRUE;1.0E-7;MdM;0;0;0;1;16;16;16;16;2.322206782372334;5.000965950516353;TRUE;1.0E-7;acb1fc6c-a827-434e-8699-f8e838d6b18c;0;0;1;1;16;16;16;16;2.322206782372505;5.000965950516944;TRUE;1.0E-7
