,model_name,model_timeMillis,model_timeDeterminization,model_timeMinimization,model_timeEigen,model_netSize,model_automatonSizeOrig,model_automatonSizeDeterministic,model_automatonSize,model_entropy,model_largestEigenValue,model_entropyComputationConverged,model_convergenceThreshold,logModel_name,logModel_timeMillis,logModel_timeDeterminization,logModel_timeMinimization,logModel_timeEigen,logModel_netSize,logModel_automatonSizeOrig,logModel_automatonSizeDeterministic,logModel_automatonSize,logModel_entropy,logModel_largestEigenValue,logModel_entropyComputationConverged,logModel_convergenceThreshold,log_name,log_timeMillis,log_timeDeterminization,log_timeMinimization,log_timeEigen,log_netSize,log_automatonSizeOrig,log_automatonSizeDeterministic,log_automatonSize,log_entropy,log_largestEigenValue,log_entropyComputationConverged,log_convergenceThreshold,type,Precision,Recall,logSize,source
0,noID imported from (data/javert/Figure 11.pnml),0,0,1,0,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658993573,1.1585518930959855,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658993573,1.1585518930959855,True,1e-07,log-model,0.5635069383630958,1.0,3,Figure 11.pnml
1,0f0c77fb-ffd0-48f4-8e19-cb9d8173eda1,0,0,0,1,19,7,7,7,0.7655817461524926,1.7000553831138263,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658999891,1.1585518930964929,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658999891,1.1585518930964929,True,1e-07,log-md,0.6814789121601944,1.0,3,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.039817386626304,2.055967396712819,True,1e-07,MdM,0,0,0,1,7,7,7,7,0.7655817461513408,1.7000553831124694,True,1e-07,0f0c77fb-ffd0-48f4-8e19-cb9d8173eda1,0,1,0,0,7,7,7,7,0.7655817461548321,1.7000553831165834,True,1e-07,md-m,0.8268882988274041,0.99999999999758,3,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263023,2.0559673967128163,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,6,41,30000,797,797,797,0.8181508916458334,1.7631447136862806,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,6,41,30000,797,797,797,0.8181508916458334,1.7631447136862806,True,1e-07,log-model,0.8575742575029569,1.0,30000,Figure 11.pnml
1,a6fa4eff-22d3-4f56-8171-099de0f1a5a4,0,0,0,2,20,8,8,8,0.37908668650980093,1.3005182878057642,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,30000,8,8,8,0.3790866865098,1.3005182878057628,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,5,46,30000,797,797,797,0.81815089164583,1.7631447136862763,True,1e-07,log-md,0.999999999999999,0.737612901374793,30000,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.039817386626302,2.0559673967128163,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865098045,1.300518287805767,True,1e-07,a6fa4eff-22d3-4f56-8171-099de0f1a5a4,0,0,0,3,8,8,8,8,0.3790866865097971,1.3005182878057604,True,1e-07,md-m,0.6325578362210903,1.000000000000005,30000,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,21,8,12,12,12,0.41873478693916655,1.336754734940703,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,21,8,12,12,12,0.41873478693916655,1.336754734940703,True,1e-07,log-model,0.6501828468087437,1.0,8,Figure 11.pnml
1,0eead1f4-fa63-451c-89f3-89f9a6f011b9,0,0,1,3,20,8,8,8,0.3790866865097971,1.3005182878057604,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,8,7,7,7,0.33659812158733776,1.2627754529956106,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,13,8,12,12,12,0.418734786939168,1.3367547349407043,True,1e-07,log-md,0.970978620474588,0.9446575501014587,8,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.0398173866263023,2.0559673967128167,True,1e-07,MdM,0,0,1,2,8,8,8,8,0.3790866865098013,1.3005182878057642,True,1e-07,0eead1f4-fa63-451c-89f3-89f9a6f011b9,0,0,0,3,8,8,8,8,0.3790866865098013,1.3005182878057642,True,1e-07,md-m,0.6325578362210887,1.0,8,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263054,2.0559673967128207,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,26,30,26,26,26,0.4656904831232706,1.3809781402733805,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,26,30,26,26,26,0.4656904831232706,1.3809781402733805,True,1e-07,log-model,0.671692626294247,1.0,30,Figure 11.pnml
1,58536e30-5ee0-4b94-bbf7-eea59932632e,0,0,0,0,25,6,6,6,0.6125377883690136,1.5289463545197053,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,14,30,12,12,12,0.4275091456029927,1.344909546256384,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,41,30,26,26,26,0.4656904831232762,1.3809781402733858,True,1e-07,log-md,0.8796316118487142,0.9738818501429274,30,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.0398173866263027,2.055967396712817,True,1e-07,MdM,0,0,0,0,6,6,6,6,0.6125377883690108,1.5289463545197024,True,1e-07,58536e30-5ee0-4b94-bbf7-eea59932632e,0,0,1,0,6,6,6,6,0.6125377883690126,1.5289463545197042,True,1e-07,md-m,0.7436627433704727,0.9999999999999989,30,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263072,2.055967396712824,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,4,100,48,48,48,0.5757820917902231,1.4904852432366675,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,4,100,48,48,48,0.5757820917902231,1.4904852432366675,True,1e-07,log-model,0.7249556805325438,1.0,100,Figure 11.pnml
1,3d0b2965-60d6-4567-9bdf-69954605fb30,0,0,0,0,25,6,6,6,0.6125377883690114,1.528946354519703,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,100,12,12,12,0.4809941392689878,1.3957050942692089,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,30,100,48,48,48,0.5757820917902287,1.4904852432366733,True,1e-07,log-md,0.9128541954028531,0.9364098709480384,100,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.0398173866263063,2.0559673967128225,True,1e-07,MdM,0,0,0,1,6,6,6,6,0.6125377883690146,1.5289463545197064,True,1e-07,3d0b2965-60d6-4567-9bdf-69954605fb30,0,0,0,0,6,6,6,6,0.6125377883690141,1.5289463545197055,True,1e-07,md-m,0.7436627433704727,1.0000000000000007,100,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,22,50,32,32,32,0.5163214386352742,1.4303036286384834,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,22,50,32,32,32,0.5163214386352742,1.4303036286384834,True,1e-07,log-model,0.6956840030271502,1.0,50,Figure 11.pnml
1,ed1399f8-58e0-40ea-9f8b-8f84005ed885,0,1,0,2,20,8,8,8,0.3790866865098015,1.3005182878057644,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,50,7,7,7,0.3365981216229217,1.2627754530267568,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,25,50,32,32,32,0.5163214386352801,1.4303036286384891,True,1e-07,log-md,0.9709786204985342,0.8828722990997352,50,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,1,0,5,5,5,5,1.039817386626305,2.05596739671282,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.37908668650979854,1.3005182878057615,True,1e-07,ed1399f8-58e0-40ea-9f8b-8f84005ed885,0,0,0,2,8,8,8,8,0.3790866865097971,1.3005182878057604,True,1e-07,md-m,0.6325578362210865,1.0000000000000009,50,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263063,2.0559673967128225,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,0,1,7,7,7,0.0,1.0,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,0,1,7,7,7,0.0,1.0,True,1e-07,log-model,0.48638903593454214,1.0,1,Figure 11.pnml
1,f72cfda7-3ecc-412b-ae57-9d805a8456c9,0,0,0,0,13,7,7,7,0.0,1.0,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,0,1,7,7,7,0.0,1.0,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,0,1,7,7,7,0.0,1.0,True,1e-07,log-md,1.0,1.0,1,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.0398173866263054,2.0559673967128207,True,1e-07,MdM,0,0,0,0,7,7,7,7,0.0,1.0,True,1e-07,f72cfda7-3ecc-412b-ae57-9d805a8456c9,0,0,1,0,7,7,7,7,0.0,1.0,True,1e-07,md-m,0.4863890359345425,1.0,1,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,28,300,66,66,66,0.6547666300133632,1.5743612642579736,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,28,300,66,66,66,0.6547666300133632,1.5743612642579736,True,1e-07,log-model,0.7657520575351237,1.0,300,Figure 11.pnml
1,05fc8084-7d0b-4034-9a89-774806a29615,0,0,0,2,20,8,8,8,0.3790866865098,1.3005182878057628,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,300,8,8,8,0.3790866865097983,1.3005182878057615,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,28,300,66,66,66,0.6547666300133581,1.574361264257968,True,1e-07,log-md,0.999999999999999,0.8260609031299593,300,Figure 11.pnml
