model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 05.pnml);0;1;0;0;12;5;5;5;1.0443141481088882;2.0623856749859435;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;1;76;300;53;53;53;0.6716940628753545;1.592942358263012;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;1;76;300;53;53;53;0.6716940628753545;1.592942358263012;TRUE;1.0E-7
fb144361-9184-4ce6-990b-52fffa7decbd;0;0;1;3;21;8;8;8;0.44448033036949613;1.3608238491957727;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;3;300;8;8;8;0.4444803303694997;1.360823849195776;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;1;74;300;53;53;53;0.6716940628753539;1.5929423582630113;TRUE;1.0E-7
noID imported from (data/javert/Figure 05.pnml);0;0;0;1;5;5;5;5;1.0443141481088896;2.0623856749859453;TRUE;1.0E-7;MdM;0;0;0;3;8;8;8;8;0.4444803303694957;1.3608238491957723;TRUE;1.0E-7;fb144361-9184-4ce6-990b-52fffa7decbd;0;0;0;3;8;8;8;8;0.44448033036949613;1.3608238491957727;TRUE;1.0E-7
