model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 05.pnml);0;0;0;1;12;5;5;5;1.044314148108892;2.062385674985949;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;1;22;3000;176;176;176;0.7669033361528113;1.701613443224762;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;1;22;3000;176;176;176;0.7669033361528113;1.701613443224762;TRUE;1.0E-7
cadf5642-106f-4814-8473-2e109675afc1;0;0;0;3;21;8;8;8;0.4870996400618698;1.401624249236227;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;2;3000;8;8;8;0.487099640061873;1.40162424923623;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;1;1;33;3000;176;176;176;0.7669033361528061;1.701613443224756;TRUE;1.0E-7
noID imported from (data/javert/Figure 05.pnml);0;1;0;0;5;5;5;5;1.0443141481088896;2.0623856749859453;TRUE;1.0E-7;MdM;0;0;0;3;8;8;8;8;0.48709964006186884;1.401624249236226;TRUE;1.0E-7;cadf5642-106f-4814-8473-2e109675afc1;0;0;0;3;8;8;8;8;0.4870996400618661;1.4016242492362234;TRUE;1.0E-7
