model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 05.pnml);0;0;0;0;12;5;5;5;1.0443141481088882;2.0623856749859435;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;1;6;9;9;9;0.41298952172189973;1.331441942953171;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;1;6;9;9;9;0.41298952172189973;1.331441942953171;TRUE;1.0E-7
59529e8c-6751-45f1-9b1d-e3f3ae5e3dd1;0;0;0;7;20;8;8;8;0.3914318622585151;1.3116946035026555;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;1;6;7;7;7;0.3376983755908546;1.2637388608105646;TRUE;1.0E-7;Log2 (from noID imported from (data/javert/Figure 05.pnml));0;0;0;1;6;9;9;9;0.4129895217219031;1.331441942953174;TRUE;1.0E-7
noID imported from (data/javert/Figure 05.pnml);0;1;0;0;5;5;5;5;1.0443141481088916;2.062385674985948;TRUE;1.0E-7;MdM;0;0;0;0;3;3;3;3;3.2034265038149176E-16;1.0000000000000002;TRUE;1.0E-7;59529e8c-6751-45f1-9b1d-e3f3ae5e3dd1;0;0;0;7;8;8;8;8;0.39143186225850973;1.3116946035026507;TRUE;1.0E-7
