model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 01.pnml);0;0;0;0;12;6;6;6;0.36199180069579634;1.2851990332453465;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;4;10000;19;19;19;0.3571891724560362;1.2809278111508247;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;4;10000;19;19;19;0.3571891724560362;1.2809278111508247;TRUE;1.0E-7
5f32eb8b-f719-4c4b-acbb-f80d1c919610;0;0;0;1;14;7;7;7;0.15416280042773775;1.1127756842910503;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;0;10000;7;7;7;0.1541628004437938;1.1127756843034347;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;0;5;10000;19;19;19;0.3571891724560347;1.2809278111508233;TRUE;1.0E-7
noID imported from (data/javert/Figure 01.pnml);0;0;0;1;6;6;6;6;0.3619918006957973;1.2851990332453473;TRUE;1.0E-7;MdM;0;1;0;1;7;7;7;7;0.15416280026428314;1.112775684164975;TRUE;1.0E-7;5f32eb8b-f719-4c4b-acbb-f80d1c919610;0;0;0;1;7;7;7;7;0.15416280059166562;1.1127756844174908;TRUE;1.0E-7
