model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 01.pnml);0;0;0;0;12;6;6;6;0.36199180069579884;1.2851990332453487;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;0;1;30;11;11;11;0.3158029620216274;1.244704226651117;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;0;1;30;11;11;11;0.3158029620216274;1.244704226651117;TRUE;1.0E-7
cdc2807b-7fb3-4d3f-9e71-282b99509ad6;0;0;0;1;14;7;7;7;0.15416280030174084;1.1127756841938667;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;1;0;1;30;7;7;7;0.15416280034371102;1.112775684226239;TRUE;1.0E-7;Log1 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;2;30;11;11;11;0.3158029620215322;1.2447042266510349;TRUE;1.0E-7
noID imported from (data/javert/Figure 01.pnml);0;1;0;1;6;6;6;6;0.36199180069579834;1.2851990332453482;TRUE;1.0E-7;MdM;0;0;0;1;7;7;7;7;0.1541628001729213;1.112775684094506;TRUE;1.0E-7;cdc2807b-7fb3-4d3f-9e71-282b99509ad6;0;1;0;1;7;7;7;7;0.15416280040926494;1.112775684276802;TRUE;1.0E-7
