model_name;model_timeMillis;model_timeDeterminization;model_timeMinimization;model_timeEigen;model_netSize;model_automatonSizeOrig;model_automatonSizeDeterministic;model_automatonSize;model_entropy;model_largestEigenValue;model_entropyComputationConverged;model_convergenceThreshold;logModel_name;logModel_timeMillis;logModel_timeDeterminization;logModel_timeMinimization;logModel_timeEigen;logModel_netSize;logModel_automatonSizeOrig;logModel_automatonSizeDeterministic;logModel_automatonSize;logModel_entropy;logModel_largestEigenValue;logModel_entropyComputationConverged;logModel_convergenceThreshold;log_name;log_timeMillis;log_timeDeterminization;log_timeMinimization;log_timeEigen;log_netSize;log_automatonSizeOrig;log_automatonSizeDeterministic;log_automatonSize;log_entropy;log_largestEigenValue;log_entropyComputationConverged;log_convergenceThreshold
noID imported from (data/javert/Figure 01.pnml);0;1;0;1;12;6;6;6;0.36199180069580034;1.28519903324535;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;1;5;10;10;10;0.19491091737938723;1.1446534790776877;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;1;5;10;10;10;0.19491091737938723;1.1446534790776877;TRUE;1.0E-7
2b4e45d7-f342-4803-9d44-c0c98f8f7562;0;1;1;1;19;6;6;6;0.36199180069579884;1.2851990332453487;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;2;5;10;10;10;0.19491091736748592;1.144653479068245;TRUE;1.0E-7;Log3 (from noID imported from (data/javert/Figure 01.pnml));0;0;1;2;5;10;10;10;0.19491091736748592;1.144653479068245;TRUE;1.0E-7
noID imported from (data/javert/Figure 01.pnml);0;1;0;1;6;6;6;6;0.3619918006958018;1.2851990332453513;TRUE;1.0E-7;MdM;0;0;1;1;6;6;6;6;0.3619918006958021;1.2851990332453516;TRUE;1.0E-7;2b4e45d7-f342-4803-9d44-c0c98f8f7562;0;0;1;1;6;6;6;6;0.36199180069579956;1.2851990332453493;TRUE;1.0E-7
